比赛日期,比赛,比赛场次,比赛小场,对阵双方,胜方,战队,队员,位置,所选英雄,击杀,死亡,助攻,击杀小兵数量,击杀中立生物量,在我方野区击杀中立生物,在敌方野区击杀中立生物,获取金钱数,插眼数,拆眼数,购买真眼数,参与推塔数,游戏结束时等级,死亡时长,输出伤害总量,对英雄造成伤害,对英雄造成物理伤害,对英雄造成魔法伤害,承受英雄伤害,承受英雄物理伤害,承受英雄魔法伤害,双杀次数,三杀次数,四杀次数,五杀次数,装备1,装备2,装备3,装备4,装备5,装备6,饰品
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,EDG	,EDGMeiko	,SUPPORT	,荆棘之兴-婕拉	,0	,5	,8	,21	,0	,0	,0	,10343	,51	,15	,15	,0	,14	,191	,44049	,16397	,1340	,14806	,15448	,6813	,8615	,0	,0	,0	,0	,守望之眼	,复用型药水	,（空）	,法师之靴	,兰德里的折磨	,爆裂魔杖	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,EDG	,EDGScout	,MID	,符文法师-瑞兹	,8	,1	,3	,392	,62	,36	,26	,18219	,19	,5	,6	,1	,18	,30	,331247	,22206	,733	,21473	,14123	,9198	,4891	,1	,0	,0	,0	,炽天使之拥	,水银弯刀	,时光之杖	,虚空之杖	,深渊权杖	,明朗之靴	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,EDG	,EDGFireloli	,JUNGLE	,皮城执法官-蔚	,2	,4	,5	,129	,104	,46	,58	,11833	,39	,13	,16	,1	,15	,176	,144261	,6568	,6568	,0	,22757	,15893	,6518	,0	,0	,0	,0	,附魔：战士	,红水晶	,布甲	,水银之靴	,亡者的板甲	,守护天使	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,EDG	,EDGZet	,ADC	,惩戒之箭-韦鲁斯	,2	,5	,8	,306	,16	,16	,0	,14910	,18	,7	,4	,3	,16	,237	,197371	,9778	,7791	,1903	,15026	,7336	,7468	,0	,0	,0	,0	,水银饰带	,卢安娜的飓风	,凡性的提醒	,狂战士胫甲	,夺萃之镰	,暴风之剑	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,WE	,WExiye	,MID	,诡术妖姬-乐芙兰	,8	,6	,5	,258	,4	,4	,0	,15157	,18	,6	,4	,1	,17	,216	,151949	,13525	,1071	,11868	,17197	,7518	,9678	,3	,0	,0	,0	,灭世者的死亡之帽	,中娅沙漏	,莫雷洛秘典	,法师之靴	,虚空之杖	,增幅典籍	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,WE	,WEMystic	,ADC	,战争女神-希维尔	,5	,2	,9	,386	,31	,16	,15	,16993	,17	,6	,4	,5	,17	,40	,288666	,29785	,29461	,0	,14954	,8013	,6615	,0	,0	,0	,0	,狂战士胫甲	,水银饰带	,夺萃之镰	,幻影之舞	,多米尼克领主的致意	,无尽之刃	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,WE	,WECondi	,JUNGLE	,盲僧-李青	,1	,3	,11	,142	,110	,64	,46	,12006	,24	,24	,6	,0	,16	,129	,140337	,7099	,5889	,1131	,31079	,18893	,12086	,0	,0	,0	,0	,附魔：战士	,兰顿之兆	,锁子甲	,巨人腰带	,守护天使	,水银之靴	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,WE	,WEZero	,SUPPORT	,虚空先知-玛尔扎哈	,1	,3	,13	,33	,0	,0	,0	,10416	,42	,17	,8	,1	,14	,124	,25034	,12407	,2140	,10267	,12386	,4835	,7326	,0	,0	,0	,0	,瑞莱的冰晶节杖	,控制守卫	,守望之眼	,钢铁烈阳之匣	,探索者的护臂	,疾行之靴	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,WE	,WE957	,TOP	,深海泰坦-诺提勒斯	,2	,2	,9	,326	,25	,8	,17	,14125	,23	,4	,7	,0	,18	,118	,182151	,11758	,2756	,9001	,19943	,8413	,11455	,0	,0	,0	,0	,抗魔斗篷	,守护天使	,振奋盔甲	,冰脉护手	,日炎斗篷	,忍者足具	,监视图腾（饰品）	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,Snake	,SSFlandre	,TOP	,炼金术士-辛吉德	,1	,3	,19	,440	,14	,6	,8	,21457	,29	,9	,1	,0	,18	,148	,284080	,20562	,1050	,19286	,51916	,34925	,13407	,0	,0	,0	,0	,正义荣耀	,兹若特传送门	,兰顿之兆	,冰霜之心	,亡者的板甲	,忍者足具	,监视图腾（饰品）	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,Snake	,SSTank	,MID	,机械先驱-维克托	,8	,2	,14	,504	,39	,27	,12	,24204	,26	,10	,3	,2	,18	,106	,474257	,54154	,471	,53072	,20103	,8249	,10991	,0	,0	,0	,0	,完美海克斯核心	,灭世者的死亡之帽	,瑞莱的冰晶节杖	,巫妖之祸	,虚空之杖	,卢登的回声	,远见改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,Snake	,SSSofM	,JUNGLE	,虚空掠夺者-卡兹克	,12	,4	,10	,265	,159	,91	,68	,21763	,21	,20	,14	,1	,18	,174	,307577	,40120	,33931	,3503	,46190	,35374	,10088	,1	,0	,0	,0	,凡性的提醒	,兰顿之兆	,贪欲九头蛇	,忍者足具	,玛莫提乌斯之噬	,黑色切割者	,神谕改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,Snake	,SSMint	,ADC	,惩戒之箭-韦鲁斯	,7	,3	,12	,494	,60	,38	,22	,24104	,24	,16	,7	,2	,18	,149	,450633	,44319	,40118	,3490	,27778	,15974	,11382	,0	,0	,0	,0	,破败王者之刃	,无尽之刃	,多米尼克领主的致意	,狂战士胫甲	,卢安娜的飓风	,夺萃之镰	,远见改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,Snake	,SSMo	,SUPPORT	,河流之王-塔姆	,0	,3	,18	,36	,0	,0	,0	,14307	,93	,21	,23	,0	,17	,115	,19507	,6985	,596	,5263	,33497	,20878	,10447	,0	,0	,0	,0	,洞察红宝石	,救赎	,山岳之容	,钢铁烈阳之匣	,（空）	,忍者足具	,神谕改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,IM	,IMAmazingJ	,TOP	,诺克萨斯之手-德莱厄斯	,5	,3	,6	,446	,20	,15	,5	,20904	,32	,10	,4	,1	,18	,154	,323899	,21322	,17779	,329	,58901	,31074	,26004	,1	,1	,0	,0	,守护天使	,斯特拉克的挑战护手	,兰顿之兆	,黑色切割者	,振奋盔甲	,水银之靴	,监视图腾（饰品）	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,IM	,IMJinjiao	,ADC	,皮城女警-凯特琳	,3	,7	,8	,454	,42	,30	,12	,21161	,13	,11	,1	,2	,18	,291	,444368	,38517	,35575	,1513	,25069	,13033	,11587	,0	,0	,0	,0	,疾射火炮	,多米尼克领主的致意	,卢安娜的飓风	,饮血剑	,无尽之刃	,狂战士胫甲	,远见改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,IM	,IMAthena	,MID	,英勇投弹手-库奇	,3	,4	,6	,516	,60	,42	,18	,22681	,30	,8	,3	,1	,18	,160	,496267	,55097	,6811	,47912	,29564	,17407	,11047	,0	,0	,0	,0	,三相之力	,无尽之刃	,夺萃之镰	,斯塔缇克电刃	,玛莫提乌斯之噬	,疾射火炮	,监视图腾（饰品）	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,IM	,IMRoad	,SUPPORT	,青钢影-卡蜜尔	,1	,6	,8	,96	,0	,0	,0	,14800	,79	,34	,16	,0	,18	,220	,59555	,10312	,7283	,370	,41853	,22550	,18146	,0	,0	,0	,0	,救赎	,钢铁烈阳之匣	,洞察红宝石	,控制守卫	,轻灵之靴	,女妖面纱	,神谕改造	
2017.02.09	,2017职业联赛	,第二周	,第一场	,IM vs Snake	,Snake	,IM	,IMBen4	,JUNGLE	,盲僧-李青	,3	,8	,8	,195	,120	,66	,54	,17224	,48	,35	,7	,1	,18	,321	,189073	,13513	,10861	,2561	,49162	,26919	,21422	,0	,0	,0	,0	,忍者足具	,附魔：战士	,守护天使	,玛莫提乌斯之噬	,亡者的板甲	,狂徒铠甲	,神谕改造	
2017.02.09	,2017职业联赛	,第二周	,第二场	,IM vs Snake	,Snake	,Snake	,SSFlandre	,TOP	,扭曲树精-茂凯	,3	,3	,12	,312	,26	,9	,17	,14569	,16	,2	,1	,0	,18	,127	,197388	,15256	,2133	,13123	,30324	,19571	,10395	,0	,0	,0	,0	,日炎斗篷	,冰霜之心	,振奋盔甲	,水银之靴	,守护天使	,冰川护甲	,远见改造	
2017.02.09	,2017职业联赛	,第二周	,第二场	,IM vs Snake	,Snake	,Snake	,SSTank	,MID	,机械先驱-维克托	,7	,2	,10	,314	,22	,19	,3	,16813	,19	,5	,5	,4	,18	,74	,235975	,32994	,443	,32551	,18017	,8759	,9205	,0	,0	,0	,0	,完美海克斯核心	,巫妖之祸	,无用大棒	,瑞莱的冰晶节杖	,虚空之杖	,明朗之靴	,远见改造	
2017.02.09	,2017职业联赛	,第二周	,第二场	,IM vs Snake	,Snake	,Snake	,SSSofM	,JUNGLE	,虚空掠夺者-卡兹克	,2	,5	,12	,155	,104	,60	,44	,12912	,16	,13	,12	,0	,16	,114	,191033	,23706	,19766	,2466	,33243	,23673	,9432	,0	,0	,0	,0	,附魔：战士	,幽梦之灵	,夜之锋刃	,（空）	,忍者足具	,锯齿短匕	,神谕改造	
