英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Olaf,Top,458.3107088989442,364.1628959276018,1899.125,9361.0,1.2084791600381801,1.0849184560906648,0.24731812928326088,0.22249952462445333,5.0,2.0,3.0,0.0,6,5,1,1,7
Jayce,Middle,539.2209123211114,362.23637197645934,3589.941455912509,7521.198684210526,1.4291803976124615,1.268075270307838,0.27955083042019596,0.17346461769575328,2.8947368421052633,2.789473684210526,4.526315789473684,0.3157894736842105,53,46,7,19,72
Irelia,Top,302.1063189571736,341.8856569712556,1115.5555555555557,5798.25,0.8464002697690103,0.8072980192486857,0.1503016512223237,0.2888509726754178,1.0,4.0,8.0,1.0,0,0,0,1,1
Tristana,ADC,396.0283892060089,417.76928886462485,890.6837606837607,7665.166666666666,0.9195967200604536,0.9968380410380708,0.2330061400837138,0.1496951560234669,6.5,2.0,9.0,1.0,0,0,0,2,2
Orianna,Middle,446.02595949157933,377.6388829218462,2402.395957310663,5998.351839826839,1.1402626855691358,1.1578809061662783,0.25611335531378826,0.14634118305065077,3.3636363636363638,3.0,6.181818181818182,0.45454545454545453,20,2,18,22,42
Vladimir,Middle,678.3734308787748,366.7677218986127,3060.375925925926,6975.444444444444,1.6716476591234806,1.3841401549469685,0.31633247820943494,0.23919996474591523,5.0,4.0,4.0,0.3333333333333333,0,0,0,3,3
Azir,Middle,490.3334641039547,383.32679482179935,4166.2,11618.0,1.2410485552576704,1.2311059264052528,0.26917262143198645,0.12202115257370318,3.0,0.0,2.0,1.0,0,0,0,1,1
Rek'Sai,Jungle,200.1654049159369,292.4849151950875,1731.5892857142858,27965.0,0.6570057336140283,0.6278549643695264,0.11130390327859589,0.3693891824875804,2.0,1.5,3.5,0.5,2,0,2,2,4
Tahm Kench,Support,104.54094951856335,242.12846009586067,693.048015873016,8837.25119047619,0.4031014653253909,0.3835040858983628,0.05606814491713321,0.1940039094741873,0.5,2.857142857142857,6.857142857142857,0.5714285714285714,30,2,28,14,44
Gnar,Top,455.3307469445097,359.9260981673959,2721.4333333333334,7571.38888888889,1.1852987415408542,1.1488267173152866,0.2502738878903414,0.2252931930675871,3.6666666666666665,2.6666666666666665,2.6666666666666665,0.3333333333333333,1,0,1,3,4
Gragas,Top,397.95798784097985,343.0210469731498,3008.9024020850948,14901.064102564103,1.1085673983803508,1.0749942774525596,0.21920504284120795,0.30694076673297344,1.7692307692307692,2.4615384615384617,6.153846153846154,0.6153846153846154,5,4,1,13,18
Camille,Support,140.1982509894464,235.37297680650602,715.9527777777779,4223.766666666666,0.5653528802607873,0.5452720392896387,0.07619205048225441,0.19330448371253808,0.6666666666666666,3.6666666666666665,5.666666666666667,0.3333333333333333,67,58,9,3,70
Kha'zix,Jungle,319.05200776072974,330.644330012379,1783.5571185141323,15434.405677655674,0.906689711159637,0.8873454907255895,0.1723352921814618,0.3072132401369868,3.41025641025641,2.5128205128205128,5.076923076923077,0.5128205128205128,9,5,4,39,48
Nautilus,Top,336.6500578372901,342.6657497737023,1870.6691591017677,11692.307246376811,0.9455917867275894,0.9072637913592729,0.1827154599550978,0.21861326104151324,1.5217391304347827,2.0434782608695654,6.043478260869565,0.5217391304347826,15,1,14,23,38
Corki,Middle,588.2247110559188,388.92742911546577,4354.3547279797085,8560.358333333334,1.4654732472893408,1.4341517202095648,0.3221309057453157,0.17942207734559762,3.1,2.1,4.8,0.55,10,1,9,20,30
Lee Sin,Jungle,245.34004226239466,331.44059170792707,1021.9914267921623,14358.846969696971,0.6980286190689305,0.681041582131765,0.13093279222033335,0.31600348473725526,3.0454545454545454,2.8181818181818183,7.136363636363637,0.5454545454545454,6,3,3,22,28
Katarina,Middle,307.23953695485955,363.17898486230024,1643.0,3982.0,0.8159631074849237,1.094768727475104,0.2526692736939233,0.13725473299611365,5.0,4.0,2.0,0.0,3,0,3,1,4
Rumble,Top,666.1523634148463,372.122163383586,4526.898046843805,7838.144108669109,1.702541375094042,1.4163508850038613,0.3085442746349478,0.2065379185697234,4.384615384615385,3.3461538461538463,5.423076923076923,0.5,42,20,22,26,68
Ziggs,ADC,562.9638018972997,398.2578752675504,6831.55923076923,5820.9,1.3706110186002858,1.272741270540323,0.28420594724707593,0.12187218622657603,1.8,1.8,4.2,0.6,3,0,3,5,8
Soraka,Support,105.32843825990211,193.68329398123137,1184.6666666666667,2274.75,0.49021100599754597,0.5054818685763582,0.074245703448083,0.11454607375162579,0.0,3.5,2.5,0.0,1,1,0,2,3
Thresh,Support,99.71452782832098,248.28615675567949,440.65324669847695,7756.155208333334,0.37577964080205417,0.3768185745638146,0.05307225141053847,0.16375945132130676,0.375,2.4375,8.9375,0.75,16,3,13,16,32
Mordekaiser,ADC,336.1129790949998,385.16817586390493,1391.2727272727273,6136.75,0.8460126239267434,1.0685873939161759,0.22429423756967837,0.12555521504548495,3.5,1.0,5.0,1.0,1,1,0,2,3
Braum,Support,119.70631301558957,235.79450520808612,692.8934523809525,6948.485227272727,0.47935200978207637,0.427945694951412,0.06187804956228706,0.2008578031149441,0.5,5.5,7.75,0.375,2,0,2,8,10
Talon,Middle,417.014467778331,345.61252895249226,3175.832738095238,7095.0,1.1585574802659433,1.1709327898263067,0.2597708718287205,0.20546669190171812,3.0,3.75,1.75,0.0,5,1,4,4,9
Ivern,Jungle,91.00090171317312,269.91884580679,560.6666666666666,3985.8,0.3210536361901126,0.3038434238392905,0.05379731653100062,0.18387739661567418,1.0,5.0,5.0,0.0,10,5,5,1,11
Cassiopeia,Middle,471.5308728466577,368.883377044032,3810.381706114398,8595.741208791209,1.2159648562623517,1.1810462259240853,0.26012123953514377,0.17017434713328367,3.230769230769231,2.8461538461538463,4.076923076923077,0.3076923076923077,16,5,11,13,29
Graves,Jungle,380.110574709563,354.22527464695423,2018.9484239763422,10645.871298701299,1.0316007450241158,0.9593743953863786,0.19654063161597618,0.23456001097964996,3.8363636363636364,2.890909090909091,5.363636363636363,0.5636363636363636,27,24,3,55,82
Jhin,ADC,495.0289917744605,374.0017934549197,2491.584950264789,7349.47311827957,1.2638673996940692,1.1441995722566585,0.24893322492011472,0.11225298667841267,3.725806451612903,1.6612903225806452,5.951612903225806,0.5483870967741935,18,12,6,62,80
Taliyah,Middle,538.2498565772972,362.3042120450177,5572.313492063491,5237.599999999999,1.4407350954437235,1.1108478922277703,0.2510650418884696,0.13211607762880975,2.0,3.6666666666666665,5.0,0.0,2,0,2,3,5
Zilean,Middle,491.4068992533665,397.0354399755661,1801.6449579831933,17124.0,1.2300712004298895,0.9116341707958071,0.19863947711796665,0.20237091434979534,2.0,2.0,13.5,1.0,4,1,3,2,6
Kled,Top,346.895106939947,380.7842451255807,940.0,15073.333333333334,0.8660508703588106,0.8716844598302416,0.18125263931080582,0.2748490243722842,2.5,2.0,9.5,1.0,3,0,3,2,5
Sion,Top,410.48492791612057,302.2542595019659,7830.0,10228.333333333334,1.3016374366220598,0.9604449495597118,0.18717280615781798,0.28976816658010296,1.0,3.0,1.0,0.0,5,1,4,1,6
Caitlyn,ADC,447.2985653735121,378.8936048890358,3809.391666666666,7056.776851851851,1.0993056041958515,1.0380940281894087,0.23473171360635758,0.15258871425225162,2.2777777777777777,2.6666666666666665,3.4444444444444446,0.3888888888888889,5,1,4,18,23
Nidalee,Jungle,418.13873154212985,367.06251834378384,1463.2980263157897,15912.416666666666,1.071170078651955,1.0040102828534354,0.20871953584126607,0.31790748684108433,4.0,2.25,6.75,0.75,2,0,2,4,6
Talon,Top,564.612202688728,358.1799379524302,9099.666666666666,5446.166666666667,1.5321023683915143,1.0901062940019133,0.2355250330005953,0.24028972718582248,2.0,6.0,1.0,0.0,5,1,4,1,6
Lulu,Support,124.47102386388998,251.01492092420173,679.9548401071025,6402.011538461538,0.4689165509966586,0.4540246007608065,0.06625458983646457,0.13194839051314938,0.6923076923076923,2.730769230769231,8.615384615384615,0.5384615384615384,12,0,12,26,38
Morgana,Support,304.42338072669827,265.71879936808847,1204.375,2847.4,1.0813692480359147,0.8711371162351553,0.1458853811794988,0.1371606389333128,3.0,5.0,5.0,0.0,2,0,2,1,3
Ekko,Top,463.48546171051225,404.9632548727234,2906.3083333333334,5489.814285714286,1.1105852755945511,1.0482793450601253,0.2270619330883798,0.2870686402298732,2.5,6.0,6.0,1.0,14,0,14,2,16
Zyra,Support,363.14348006610805,246.9656555828327,3187.561893369788,4444.556140350877,1.3872601268883888,1.288898109334253,0.20041334003977235,0.14455095909778007,1.1578947368421053,3.736842105263158,5.2105263157894735,0.21052631578947367,21,11,10,19,40
Zed,Middle,483.8343155105737,384.24211398987643,1879.5863062493063,7254.126666666668,1.1820989038549499,1.040087900690184,0.2283272835268435,0.1876716197227331,5.7,3.6,6.7,0.7,20,5,15,10,30
Twisted Fate,Middle,471.4701601164483,424.0465793304221,2699.1666666666665,6569.666666666667,1.0749369441125713,1.3692094216476043,0.3565060426618531,0.19407791082401135,4.0,3.0,2.0,0.0,0,0,0,1,1
Miss Fortune,ADC,708.7181303111128,434.0014164302875,1962.1764705882354,8363.0,1.5939695130692406,1.1734806760729837,0.28914566069137687,0.1629949650803963,10.0,3.0,7.0,0.0,5,0,5,1,6
Syndra,Middle,511.38886954104953,406.57794036807195,2246.421506514028,7213.839047619049,1.210334437428686,1.1771801025946482,0.26767737817635745,0.149374717323485,4.371428571428571,2.1714285714285713,5.171428571428572,0.7142857142857143,37,14,23,35,72
Olaf,Jungle,364.8705040701727,336.31730250785756,1309.5666666666666,12830.714285714286,1.0347830670805334,1.0410665598142352,0.2031285107242487,0.33083553808138133,3.0,4.0,7.5,0.5,6,5,1,2,8
Zac,Jungle,327.5432525951557,364.56747404844293,946.6,25664.0,0.85773831098224,0.8607686760615253,0.16001487566982775,0.4347988140618382,2.0,0.0,8.0,1.0,0,0,0,1,1
Blitzcrank,Support,49.19093851132686,273.9805825242719,304.0,10104.0,0.16952933303591344,0.30107864306917126,0.04526503871351995,0.19317834200061182,0.0,1.0,5.0,1.0,0,0,0,1,1
Nautilus,Support,130.91833141298596,252.17375437733313,692.9214285714285,8393.483333333334,0.4929150120425969,0.5206442633574327,0.0806064705117402,0.22637502166267504,0.25,4.0,7.75,0.5,15,1,14,4,19
Ekko,Middle,389.3464790010971,383.13414812507733,2479.5263095238097,13249.74,0.9869886684996232,1.0596027353855209,0.24073338881077438,0.21611989721440256,2.7,2.3,3.7,0.5,14,0,14,10,24
Maokai,Top,396.57577268918016,354.55227035082805,2366.201390155907,17146.544841269842,1.0870393263486495,1.0455041343102138,0.21327763929425847,0.2987062706602809,2.142857142857143,2.4047619047619047,7.285714285714286,0.5952380952380952,17,9,8,42,59
Nami,Support,151.10658949118778,245.2511341235826,1217.6226348943455,5954.678571428572,0.5866763611263272,0.5936345109098861,0.08604287192724025,0.13562374293964527,0.35714285714285715,2.7857142857142856,9.142857142857142,0.42857142857142855,10,1,9,14,24
Sivir,ADC,464.08490997542606,384.95622077082265,6834.905066137566,8053.257777777777,1.16123922313075,1.147586022707654,0.2703074332179234,0.13256422766307613,1.4666666666666666,1.6666666666666667,3.7333333333333334,0.26666666666666666,9,1,8,15,24
Gangplank,Top,588.3940920555099,458.97645490134437,1909.5617424242423,12201.3,1.2384360991331491,1.1261990439889762,0.2677193907421921,0.20386045994296276,3.8,1.4,6.4,0.8,4,0,4,5,9
Ezreal,ADC,506.8455349301725,374.1342581677767,3517.6646315223243,9581.758333333333,1.3087576207287273,1.2826300102117634,0.28859892790450775,0.15685030794587934,2.9615384615384617,1.8461538461538463,3.923076923076923,0.38461538461538464,4,2,2,26,30
Yorick,Top,620.9415821778884,372.08145030410367,4969.950980392156,8678.833333333334,1.6009301667362874,1.3547107387114858,0.29287980799307567,0.32985080126634847,3.5,5.0,6.5,0.5,0,0,0,2,2
Elise,Jungle,267.4546321620891,310.82842518700295,2249.563843358753,9516.903663003663,0.8113961822261698,0.7888381884706501,0.15025179207626144,0.255510834616787,1.9230769230769231,3.3846153846153846,4.1923076923076925,0.3076923076923077,20,12,8,26,46
Ashe,ADC,370.65969270113794,379.93179687486486,2288.056347850382,7644.0829889807155,0.9368751013316604,0.9240983541192184,0.20389210531298738,0.128072449028134,2.3181818181818183,2.0454545454545454,6.25,0.5,13,9,4,44,57
Poppy,Top,377.6079473849043,330.7268734536778,2910.071590909091,12583.018749999997,1.101340078571873,0.9834543584647596,0.20406715606875292,0.2503271256494179,2.0,2.75,4.25,0.125,1,0,1,8,9
Varus,ADC,657.6348834157017,389.10943488962295,3484.8210068918015,6273.687333333334,1.6260665567286472,1.3976153195525034,0.31306165962835986,0.11171214116342214,3.8,1.88,5.88,0.64,75,75,0,25,100
Fiora,Top,370.88046263419625,410.40132846925593,3227.527777777778,17024.083333333332,0.8745382623770558,0.934745126419417,0.2241269056547112,0.2892755995525052,2.6666666666666665,2.0,1.6666666666666667,0.6666666666666666,4,0,4,3,7
Rumble,Jungle,633.8504936530323,347.7291960507757,1605.0,23009.0,1.751773602557106,1.2172807053590045,0.2645957466851935,0.21902486387693715,6.0,1.0,8.0,0.0,42,20,22,1,43
Bard,Support,195.49250174598228,276.1127521324083,435.19375,9039.5,0.6737912291214829,0.6911544609385435,0.10318528902687554,0.1635027552821634,0.5,1.0,15.0,1.0,0,0,0,2,2
